№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
6436142;16.11.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;13696598;"ТОВ ""Кварк-М""";380805;"АППБ ""АВАЛЬ""";336;#2201160#,#2282#,#2240 за дiагностику  техн. стану та ремонт лазерн.принтера за 11,2015р.Д.БО-15784 от 19,10,15Акт 10-26 вiд 09,11,15#,# ПДВ -56,00#,#б.538#
2763116;12.10.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;3327629;"ПАТ АК ""Київводоканал""";300670;"ВАТ КОМЕРЦІЙНИЙ БАНК ""ХРЕЩАТИК""";335;#2201380#,#2281#,#2272 Опл.за посл.водовід.#,#за 09.15р.#,#акт №9-1824 від 08.10.15р.#,#д.№14050/1-5-09ДК від 30.06.15р.#,#ПДВ-55,83#,#б.н 501#
6757644;19.11.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;24095427;"АТ ""В.М.""";380582;NA;334,32;#2201160#,#2282#,#2210 за тонер#,#в.н. №ННУ00045710 вiд 16.11.2015, дог.№ВТ-1544 вiд 22.06.2015#,#ПДВ-55.72#,#б.500#
10111491;21.12.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;23515333;"ПП ""МНТП ""Студент-сервiс""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";333;#2201160#,#2282#,#2240-посл.з прання бiлизни.#,#акт №09 вiд 17.12.15, дог.№БО-15857 вiд 06.11.15#,#ПДВ-55.50#,#б.498#
5348198;04.11.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;23515333;"ПП ""МНТП ""Студент-сервiс""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";333;#2201160#,#2282#,#2240-посл.з прання бiлизни.#,#акт №28 вiд 02.11.15, дог.№ЗЦП 1503 вiд 18.03.15#,#ПДВ-55.50#,#б.498#
5142491;30.10.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;35008087;"ВДВС Солом""янського РУЮ";820019;ГУДКСУ у м.Києві;332,54;#2201160#,#2282#,#2111:Погашення боргу з Довгалюк Тетяни Юрiївни iз з/пл за 10/2015р.#,#ВП.№48084941#
7508505;26.11.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;35008087;"ВДВС Солом""янського РУЮ";820019;ГУДКСУ у м.Києві;332,54;#2201160#,#2282#,#2111:Погашення боргу з Довгалюк Тетяни Юрiївни iз з/пл за 11/2015р.#,#ВП.№48084941#
6303501;13.11.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;38050812;УДКСУ у Солом`янському р-нi;820019;ГУДКСУ у м.Києві;332,25;*101020709212201040 2281(2111)Вiйськовий збiр iз з/п по контракту за першу половину 11.15р. б/н 501
2654349;09.10.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;32595752;"ДП ""УкрНДНЦ""";380333;"Ф-Я ВАТ""ДЕРЖ.ЕКСП.-ІМП.БАНК"" В М.КИЄВІ";331,2;#2201040#,#2281#,# 2240 Експертиза докум.#,#акт №3 вiд 05.10.2015р., дог. №080/е/р/б721 вiд 08.07.2015р.#,#У т.ч. ПДВ-55,20 грн.#,#Б.573#
5577007;06.11.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;36192323;"ТОВ ""КИЇВ-ГАЗ-СЕРВIС""";380805;"АППБ ""АВАЛЬ""";331,2;#2201160#,#2282#,#2210 - за привiд стартера (автозапчастина)#,#дог. № БО-15846 вiд 27.10.15 р. накл. № КГС0001762 вiд 04.11.15р.#,#ПДВ-55,20грн.#,#б.571#
