№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
14025520;15.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;39440996;МГУ ДФС ЦЕНТР ОФIС З ОВП;820019;ГУДКСУ у м.Києві;9134,00;"* 10102070921Єдиний внесок iз з/пл за 1-упол.02.2016р.2201040 2281(2120) б.510"
12907967;28.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;xxxxxxxxxx;Левчук Олена Миколаївна;300528;АКБ "РАЙФФАЙЗЕНБАНК УКРАЇНА", М.КИЇВ;9132,49;"2201160 2282 2111 Поповн.картк.рахунку Левчук Олена Миколаївна -з/пл за 01/2016р."
13109222;29.01.2016;02070921;НТУУ "КПІ";820019;ГУДКСУ у м.Києві;00032112;АТ "Укрексімбанк";322313;ВАТ "ДЕРЖ.ЕКСП.-ІМ.БАНК УКРАЇНИ", КИЇВ;8913,81;"Перерахування коштів на виплату лікарняних за 01/xxxxр.,дог.2AIS/153-6-15 від 10.02.xxxxр."
14031849;15.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;38050812;УДКСУ у Солом`янському р-нi;820019;ГУДКСУ у м.Києві;8562,87;"*101020709212201160,2282(2111)- Вiйськовий збiр iз з/пл за 1пол.02.2016, б.491"
13126854;29.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;21705696;ПАТ КБ "Приватбанк";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;8514,88;"220104022812730 Перерахування стипендiї КМУ на картки за 01.16р. дог. 520 вiд 22.07.09р. б/н 501 без ПДВ."
13120059;29.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;00032112;АТ "Укрексiмбанк";322313;ВАТ "ДЕРЖ.ЕКСП.-ІМ.БАНК УКРАЇНИ", КИЇВ;8514,88;"220104022812730 Перерахування стипендiї КМУ на картки за 01.16р. дог. № 2AIS/153-6-15 вiд 10.02.15р. б/н 501 без ПДВ."
14140403;16.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;14361575;Кредi Агрiколь банк;300614;АТ "ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК";8497,00;"2201040  2281  2111 Перерах. з/пл. на картки зг. контрактiв за I пол.  02.2016 р.  згiдно дог. №20-84/19 вiд 03.08.04р. б.516  без ПДВ."
13109067;29.01.2016;02070921;НТУУ "КПІ";820019;ГУДКСУ у м.Києві;23494714;ПАТ "АЛЬФА-БАНК";300346;ЗАТ "АЛЬФА-БАНК", М.КИЇВ;8461,49;"Перерахування коштів на виплату лікарняних  за 01/xxxxр.дог.xxxx від 10.01.xxxxр."
12170031;19.01.2016;02070921;НТУУ "КПІ";820019;ГУДКСУ у м.Києві;14361575;ПАТ "КРЕДІ АГРІКОЛЬ БАНК";300614;АТ "ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК";8350,00;"Перерахування коштів на виплату депонентів по з/платі , дог.20-84/19 від 03.08.04р.без ПДВ."
14289677;18.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;21705696;ПАТ КБ "Приватбанк";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;8335,65;"2201040 2281 2111 Перерахування з/пл. зг. контр. за 02/2016р. дог.№520 вiд 22.07.09р. б.545 без ПДВ."
