№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
18285673;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34200887;"ТОВ ""Руол Стандарт""";380805;"АППБ ""АВАЛЬ""";1112,4;220116022822230 за прод. харчуваннянакл №1372(30.03.16р.)БО-1635(01.03.16р.)ПДВ-185,40Б.578
18037984;05.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;33542497;"ТОВ ""МЦФЕР-Україна""";380805;"АППБ ""АВАЛЬ""";1100;220116022822240 опл.за iнформ.-консультац.послугизгiдно дог.№СО00817 вiд 24.03.2016, акт №СО00817/03 вiд 01.04.2016, б.500 в т.ч. ПДВ-183,33.
18285232;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34200887;"ТОВ ""Руол Стандарт""";380805;"АППБ ""АВАЛЬ""";1090,5;220116022822230 за прод. харчуваннянакл.№1368(30.03.16р.)БО-1623(01.03.16р.)ПДВ-181,75Б.578
18283826;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34200887;"ТОВ ""Руол Стандарт""";380805;"АППБ ""АВАЛЬ""";1080;220116022822230 за прод. харчуваннянакл №1429(30.03.16р.)ВТ-1617(28.12.15р.)ПДВ-180,00Б.578
18168435;07.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;23513707;"ТОВ ""А.С.Ю.Р.""";300023;"АКБ СОЦІАЛЬНОГО РОЗВИТКУ ""УКРСОЦБАНК""";1021,8;220116022822240 опл.за заправку,вiдновл.картриджiв згiдно дог.№БО-16074 вiд 11.03.2016,акт №9884 вiд 01.04.2016, б.500 в т.ч. ПДВ-170,30.
18297854;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;22430008;"ТОВ ""Сандора""";351005;"АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ";987,36;220116022822230 за прод. харчуваннянакл.№КИ\РНв-153851(29.03.16р.)ВТ-1618(28.12.15р.)ПДВ-164,56Б.578
18289378;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;22430008;"ТОВ ""Сандора""";351005;"АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ";961,44;220116022822230 за прод. харчуваннянакл №КИ/РНв-150848(30.03.16р.)ВТ-1618(28.12.15р.)ПДВ-160,24Б.578
18302131;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34200887;"ТОВ ""Руол Стандарт""";380805;"АППБ ""АВАЛЬ""";948,75;220116022822230 за прод. харчуваннянакл №1294(30.03.16р.)БО-1623(01.03.16р.)ПДВ-158,13Б.578
18062999;06.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34200887;"ТОВ ""Руол Стандарт""";380805;"АППБ ""АВАЛЬ""";900;220116022822230 за прод. харчуваннянакл №1244(23.03.16р.)БО-1624(01.03.16р.)ПДВ-150,00Б.578
18071900;06.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;23513707;"ТОВ ""А.С.Ю.Р.""";300023;"АКБ СОЦІАЛЬНОГО РОЗВИТКУ ""УКРСОЦБАНК""";879,6;220116022822240 за заправку картриждаакт №9892(24.03.16р.)БО-16074(11.03.16р.)ПДВ-146,60Б.578
18179247;07.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;13696598;"ТОВ ""КВАРК-М""";380805;"АППБ ""АВАЛЬ""";840;"220116022822240 опл.за дiагност.технiч.стану СБ компютеразгiдно дог.№БО-16019 вiд 01.03.2016, акт №03-03 вiд 01.04.2016, б.500 в т.ч. ПДВ-140,00."""
18296662;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34200887;"ТОВ ""Руол Стандарт""";380805;"АППБ ""АВАЛЬ""";802,8;220116022822230 за прод. харчуваннянакл.№1370(30.03.16р.)БО-1626(01.03.16р.)ПДВ-133,80Б.578
18302001;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30180401;"ТОВ ""Дарина""";380805;"АППБ ""АВАЛЬ""";780;220116022822230 за прод. харчуваннянакл.№162528(31.03.16р.)ВТ-1614(28.12.15р.)ПДВ-130,00Б.578
18178970;07.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;13696598;"ТОВ ""КВАРК-М""";380805;"АППБ ""АВАЛЬ""";600;220116022822240 опл.за проф.ремонт лазерного БФПзгiдно дог.№БО-16019 вiд 01.03.2016, акт №01-14 вiд 01.04.2016, б.500 в т.ч. ПДВ-100,00.
18296145;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34794089;"ГУ уряд.зв""язку Держ.сл.спец.зв.та зах";820172;ДКСУ;595,56;"220116022822240 абонплата за корист.посл.мiськ.урядов.звязку згiдно дог.№16/16 вiд 02.03.2016,акт №16/01/16 вiд 01.04.2016, б.500 в т.ч. ПДВ-99,26."""
18296532;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34794089;"ГУ уряд.зв""язку Держ.сл.спец.зв.та зах";820172;ДКСУ;595,56;"220116022822240 абонплата за корист.посл.мiськ.урядов.звязку згiдно дог.№16/16 вiд 02.03.2016,акт №16/02/16 вiд 01.04.2016, б.500 в т.ч. ПДВ-99,26."""
18286514;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;34794089;"ГУ уряд.зв""язку Держ.сл.спец.зв.та зах";820172;ДКСУ;595,56;"220116022822240 абонплата за корист.посл.мiськ.урядов.звязку згiдно дог.№16/16 вiд 02.03.2016,акт №16/03/16 вiд 01.04.2016, б.500 в т.ч. ПДВ-99,26."""
18291906;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;23513707;"ТОВ ""А.С.Ю.Р.""";300023;"АКБ СОЦІАЛЬНОГО РОЗВИТКУ ""УКРСОЦБАНК""";574,8;220116022822240 опл.за вiдновл.,запр.картриджiв згiдно дог.№БО-16074 вiд 11.03.2016,акт №9899 вiд 04.04.2016, б.500 в т.ч. ПДВ-95,80.
18296230;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;23513707;"ТОВ ""А.С.Ю.Р.""";300023;"АКБ СОЦІАЛЬНОГО РОЗВИТКУ ""УКРСОЦБАНК""";573,6;220116022822240 опл.за ремонт,заправку принтера згiдно дог.№БО-16074 вiд 11.03.2016,акт №9893 вiд 04.04.2016, б.500 в т.ч. ПДВ-95,60.
18036728;05.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;38050812;УДКСУ у Соломянському р-нi;820019;ГУДКСУ у м.Києві;570,01;*101020709212201040,2281(2111)-Вiйськовий збiр iз з/ти зг. контрактiв за 1 пол. квiтня 2016 р. б.н.558
18287069;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;1189979;"Київ.мiськ.дир.УДППЗ""Укрпошта""";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;504;220116022822240 опл.за посл.з ТО марк.машини за 03.2016 згiдно дог.№БО-1607/24-179 вiд 01.03.2016, акт №446 вiд 04.04.2016, б.500 в т.ч. ПДВ-84,00.
